source,row_id,headline,date_raw,published_date,langdetect_guess,language (FR/MSA/Tunisian/Arabizi/EN/mixed -- fill by hand),about_tunisian_economy Y/N (fill by hand),about_global_economy Y/N (fill by hand),headline_extracted_correctly Y/N (fill by hand),stored_date_matches_site Y/N (fill by hand)
economist_tunisia_all,economist_tunisia_all::761,Hoping for a reprieve,2015-04-18,2015-04-18,en,,,,,
economist_tunisia_all,economist_tunisia_all::723,Terrorists returning home to Tunisia,2017-01-19,2017-01-19,en,,,,,
economist_tunisia_all,economist_tunisia_all::422,America’s trade chaos is just beginning,2026-02-26,2026-02-26,en,,,,,
economist_tunisia_all,economist_tunisia_all::714,Anger over the Tunisian government’s belt-tightening spills over into unrest,2018-01-11,2018-01-11,en,,,,,
economist_tunisia_all,economist_tunisia_all::593,China and the West take a step to ease Africa’s debt crisis,2023-05-18,2023-05-18,en,,,,,
economist_tunisia_all,economist_tunisia_all::660,Italy’s populist right looks menacing,2021-05-22,2021-05-22,en,,,,,
economist_tunisia_all,economist_tunisia_all::873,"Recognising the ""united"" opposition",2012-11-20,2012-11-20,en,,,,,
economist_tunisia_all,economist_tunisia_all::109,Can music festivals save the melting Alps?,2026-08-27,2026-08-27,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::208,Europe has reduced illegal immigration without goon tactics,2026-06-04,2026-06-04,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::259,Inflation or recession? The tug of war in bond markets,2026-04-05,2026-04-05,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::97,China’s exorbitant surplus calls for a much stronger yuan,2026-08-16,2026-08-16,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::148,Can Andy Burnham fix Britain’s broken finances?,2026-07-23,2026-07-23,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::395,Venice’s new admission fee cannot curb overtourism,2024-05-13,2024-05-13,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::486,The IMF hands Mauricio Macri a vote of confidence,2018-06-08,2018-06-08,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::234,"Indonesia, the biggest Muslim-majority country, is on a risky path",2026-05-14,2026-05-14,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::181,"Turkey and Israel should trade energy, not insults",2026-07-02,2026-07-02,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::525,Everybody wants to rule the world,2014-08-16,2014-08-16,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::367,Donald Trump’s trade policy chaos,2025-03-06,2025-03-06,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::260,Senegal’s government denies the gravity of its debt crisis,2026-04-01,2026-04-01,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::368,Why Britain has so far dodged Donald Trump’s tariffs,2025-02-20,2025-02-20,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::451,This year may prove even worse for the tourism industry than 2020,2021-12-01,2021-12-01,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::396,Can the IMF solve the poor world’s debt crisis?,2024-04-18,2024-04-18,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::351,What opponents of the EU-US trade deal get wrong,2025-07-30,2025-07-30,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::77,"Elbows up, again: a US-Canada trade flare-up",2026-08-24,2026-08-24,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::608,Is inflation on the way?,2011-03-14,2011-03-14,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::420,A surge of migrants is reaching Italy,2023-03-30,2023-03-30,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::174,AI has taken over the stock market. The bond market is next,2026-07-07,2026-07-07,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::742,United States’ economy,,,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::39,The IRS is going after America Inc’s overseas profits,2026-09-03,2026-09-03,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::619,Inflation and renewable energy,2011-02-07,2011-02-07,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::375,"Canada, China, Mexico and the art of retaliation",2025-02-02,2025-02-02,en,,,,,
economist_tunisia_economy,economist_tunisia_economy::664,A good war,2009-09-17,2009-09-17,so,,,,,
economist_tunisia_economy,economist_tunisia_economy::708,The new man at the Fund,2004-06-03,2004-06-03,en,,,,,
guardian_tunisia,guardian_tunisia::76,Four Daughters review – fact and fiction mix in mother’s heartbreak over Islamic State,2023-05-20,2023-05-20,en,,,,,
guardian_tunisia,guardian_tunisia::158,Covid: entry rules for UK travellers to holiday hotspots across Europe,2021-07-02,2021-07-02,en,,,,,
guardian_tunisia,guardian_tunisia::717,Islamic countries brace for anti-west protests,2012-09-21,2012-09-21,en,,,,,
guardian_tunisia,guardian_tunisia::602,Mysterious lake in Tunisian desert turns from turquoise to green sludge,2014-08-01,2014-08-01,en,,,,,
guardian_tunisia,guardian_tunisia::247,'Tunisia is finished': smugglers profit as downturn drives European exodus,2018-02-12,2018-02-12,en,,,,,
guardian_tunisia,guardian_tunisia::716,Banknotes reflect glory of nation state,2012-09-27,2012-09-27,en,,,,,
guardian_tunisia,guardian_tunisia::109,Tunisian parliamentary election records just 8.8% turnout,2022-12-18,2022-12-18,en,,,,,
guardian_tunisia,guardian_tunisia::270,'We are an example to the Arab world': Tunisia's radical marriage proposals,2017-09-04,2017-09-04,en,,,,,
guardian_tunisia,guardian_tunisia::333,The strong north African heritage behind the attacks in France,2016-07-17,2016-07-17,en,,,,,
guardian_tunisia,guardian_tunisia::566,Tunisia terrorism attack: injured taken from Bardo museum - video,2015-03-19,2015-03-19,sv,,,,,
guardian_tunisia,guardian_tunisia::344,Thomas Cook shares fall as terror fears take toll on key destinations,2016-05-19,2016-05-19,en,,,,,
guardian_tunisia,guardian_tunisia::382,Tunisian national dialogue quartet wins 2015 Nobel peace prize,2015-10-09,2015-10-09,en,,,,,
guardian_tunisia,guardian_tunisia::44,‘We are already dead here’: last residents of Tunisian ghost town set sights on Europe,2023-10-25,2023-10-25,en,,,,,
guardian_tunisia,guardian_tunisia::527,Man held in Italy over Tunis museum attack,2015-05-20,2015-05-20,en,,,,,
guardian_tunisia,guardian_tunisia::328,Life expectancy in Syria fell by six years at start of civil war,2016-08-24,2016-08-24,en,,,,,
guardian_tunisia,guardian_tunisia::244,Dozens drown after migrant boat sinks off Tunisia coast,2018-06-03,2018-06-03,en,,,,,
guardian_tunisia,guardian_tunisia::174,‘People are hungry’: why Tunisia's youth are taking to the streets,2021-01-20,2021-01-20,en,,,,,
guardian_tunisia,guardian_tunisia::376,Tunisian president declares state of emergency after bus bombing,2015-11-25,2015-11-25,en,,,,,
guardian_tunisia,guardian_tunisia::974,Banned books return to shelves in Egypt and Tunisia,2011-02-28,2011-02-28,en,,,,,
guardian_tunisia,guardian_tunisia::70,EU accused of whitewashing Tunisian regime in bid to stem migration,2023-06-26,2023-06-26,en,,,,,
guardian_tunisia,guardian_tunisia::876,Fuel smuggler's paradise: a day on the border between Libya and Tunisia,2011-08-10,2011-08-10,en,,,,,
guardian_tunisia,guardian_tunisia::948,"The fate of the Arabs will be settled in Egypt, not Libya",2011-03-16,2011-03-16,en,,,,,
guardian_tunisia,guardian_tunisia::363,"Terror: after Paris, Tunisia and California, can we stop it spreading?",2015-12-26,2015-12-26,en,,,,,
guardian_tunisia,guardian_tunisia::732,Tunisian cartoonist Z: 'My hatred for Ben Ali made me free' - video,2012-07-19,2012-07-19,en,,,,,
guardian_tunisia,guardian_tunisia::49,‘I had to drink my own urine to survive’: Africans tell of being forced into the desert at Tunisia border,2023-09-28,2023-09-28,en,,,,,
ilboursa,ilboursa::1202,Les prix alimentaires mondiaux clôturent 2025 en baisse,2026-01-09,2026-01-09,fr,,,,,
ilboursa,ilboursa::23356,Maroc : 27 accords économiques conclus avec le Sénégal,2015-05-28,2015-05-28,fr,,,,,
ilboursa,ilboursa::15164,"OneTech Holding : Distribution d'un dividende de 0,330 dinar par action à partir du 21 juin",2019-05-27,2019-05-27,fr,,,,,
ilboursa,ilboursa::11753,ENDA Tamweel émet un emprunt obligataire de 20 millions de dinars,2020-12-31,2020-12-31,fr,,,,,
ilboursa,ilboursa::8672,La BIAT lève avec succès 200 millions de dinars sur le marché obligataire,2022-05-11,2022-05-11,fr,,,,,
ilboursa,ilboursa::8345,Radhi MEDDEB rachète à AfricInvest ses parts détenues dans le capital de CFE Tunisie,2022-06-30,2022-06-30,fr,,,,,
ilboursa,ilboursa::5545,L’écosystème tunisien des startups entre dans le Top 15 mondial,2023-10-19,2023-10-19,fr,,,,,
ilboursa,ilboursa::13349,La société TPR affiche un chiffre d'affaires de 29 millions de dinars au premier trimestre,2020-04-16,2020-04-16,fr,,,,,
ilboursa,ilboursa::15118,Mise en oeuvre de la loi fiscale américaine FATCA : Le CMF annonce les dispositions à prendre,2019-06-11,2019-06-11,fr,,,,,
ilboursa,ilboursa::5525,L'UBCI réalise un PNB de près de 225 millions de dinars à fin septembre,2023-10-20,2023-10-20,fr,,,,,
ilboursa,ilboursa::20521,"Une perte hebdomadaire de 0,58% à la Bourse de Tunis",2016-09-26,2016-09-26,fr,,,,,
ilboursa,ilboursa::25680,L'élargissement du déficit commercial inquiète la Banque Centrale,2014-05-01,2014-05-01,fr,,,,,
ilboursa,ilboursa::10037,La néobanque allemande N26 lève 900 millions de dollars auprès d'investisseurs privés,2021-10-21,2021-10-21,fr,,,,,
ilboursa,ilboursa::24038,"Tunisie : Ridha Ben Mosbah, conseiller économique du Chef du gouvernement ?",2015-02-12,2015-02-12,fr,,,,,
ilboursa,ilboursa::4165,Les provisions pour risques et charges font tomber TELNET dans le rouge en 2023,2024-06-19,2024-06-19,fr,,,,,
ilboursa,ilboursa::25809,Réalisation de deux transactions de blocs sur la Banque de Tunisie,2014-04-17,2014-04-17,fr,,,,,
ilboursa,ilboursa::6186,"L'inflation en Égypte atteint un record de 33,7 % au mois de mai",2023-06-19,2023-06-19,fr,,,,,
ilboursa,ilboursa::21117,Lancement du Third Round of Funding for Startups 2016 par l'accélérateur FasterCapital,2016-05-23,2016-05-23,fr,,,,,
ilboursa,ilboursa::11142,PBR Rating - APTBEF : Démarrage du programme d’évaluation des grands engagements du secteur financier,2021-04-08,2021-04-08,fr,,,,,
ilboursa,ilboursa::7978,L’Etat tunisien engrange 45 millions de dinars en vendant ses parts dans ADWYA,2022-09-09,2022-09-09,fr,,,,,
ilboursa,ilboursa::25453,La Banque de Tunisie: Le titre est sollicité par les investisseurs étrangers,2014-06-02,2014-06-02,fr,,,,,
ilboursa,ilboursa::23659,"Air Liquide Tunisie : Baisse de 12,5% des exportations à fin mars 2015",2015-04-19,2015-04-19,fr,,,,,
ilboursa,ilboursa::15617,L’Arab Bank s’apprête à racheter la part de BNP Paribas dans le capital de l’UBCI,2019-03-12,2019-03-12,fr,,,,,
ilboursa,ilboursa::1588,"Poulina : Réalisation de deux transactions de bloc pour 3,4 millions de dinars",2025-10-22,2025-10-22,fr,,,,,
ilboursa,ilboursa::25875,"H&M, plus grande marque de distribution en Europe",2014-04-08,2014-04-08,fr,,,,,
kapitalis,kapitalis::2574,La Tunisie lance une expérience visant à réduire l’évaporation de l’eau des barrages,2024-07-13,2024-07-13,fr,,,,,
kapitalis,kapitalis::7496,Imed Hammami confirme : «Olfa Hamdi a été nommée par Ennahdha à la tête de Tunisair,2021-03-01,2021-03-01,fr,,,,,
kapitalis,kapitalis::9210,"City Cars, concessionnaire en Tunisie de Kia Motors, a augmenté ses revenus de +40,3% en 2019",2020-03-02,2020-03-02,fr,,,,,
kapitalis,kapitalis::5456,"Tunisie : Selon Souhail Boukhris, il n’y a plus de sucre dans les dépôts de l’Office du commerce",2022-09-08,2022-09-08,fr,,,,,
kapitalis,kapitalis::736,Tunisie | Inégalité territoriale face aux aléas climatiques,2026-02-17,2026-02-17,fr,,,,,
kapitalis,kapitalis::11770,La SNDP-Agil lance son 1er hackathon pour l’innovation,2019-02-26,2019-02-26,en,,,,,
kapitalis,kapitalis::856,Salon | Ifsa 2026 au service de l’agroalimentaire africain,2026-01-12,2026-01-12,fr,,,,,
kapitalis,kapitalis::7273,"La Biat annonce un PNB en hausse de 3,2% au 1er trimestre 2021",2021-04-30,2021-04-30,fr,,,,,
kapitalis,kapitalis::11499,Conférence sur les matériaux et l’énergie à Hammamet (23-26 avril 2019),2019-04-17,2019-04-17,fr,,,,,
kapitalis,kapitalis::11605,La Tunisie accueille le Forum sur l’Economie Bleue en Afrique (ABEF 2019),2019-04-04,2019-04-04,fr,,,,,
kapitalis,kapitalis::17136,Tunisia-Africa Business Council: Un lancinant besoin d’Afrique,2015-10-18,2015-10-18,ca,,,,,
kapitalis,kapitalis::15397,La Biat se lance dans le conseil et la restructuration des entreprises,2016-11-24,2016-11-24,fr,,,,,
kapitalis,kapitalis::11668,Le FMI réitère son soutien au gouvernement tunisien,2019-03-22,2019-03-22,fr,,,,,
kapitalis,kapitalis::7539,BCT : Le dinar se déprécie par rapport à l’euro et s’apprécie vis-à-vis du dollar américain,2021-02-17,2021-02-17,fr,,,,,
kapitalis,kapitalis::2622,Léger optimiste des sociétés allemandes en Tunisie,2024-07-01,2024-07-01,fr,,,,,
kapitalis,kapitalis::10416,Législatives du 6 octobre 2019 : Votons pour l’économie et contre la mal-gouvernance !,2019-10-05,2019-10-05,fr,,,,,
kapitalis,kapitalis::6383,Tunisie – réserves de devises : Les petits ruisseaux font les grandes rivières,2022-02-18,2022-02-18,fr,,,,,
kapitalis,kapitalis::5894,Tunisie : Hausse des exportations et des importations en avril 2022,2022-06-01,2022-06-01,fr,,,,,
kapitalis,kapitalis::4973,Tunisie-Libye : examen de la coopération dans les secteurs des infrastructures et des travaux publics,2022-12-29,2022-12-29,fr,,,,,
kapitalis,kapitalis::10312,Tunisie : le nouveau gouvernement doit trouver un remède au déséquilibre budgétaire flagrant,2019-10-22,2019-10-22,fr,,,,,
kapitalis,kapitalis::13551,"Limogeage de Chedly Ayari: Et maintenant, où va la Tunisie ?",2018-02-09,2018-02-09,fr,,,,,
kapitalis,kapitalis::450,Tunisie | Le mouton de l’Aïd acheté sur… Instagram,2026-05-17,2026-05-17,fr,,,,,
kapitalis,kapitalis::8487,Samir Saied remplace Mohamed Fadhel Kraiem à la présidence du CA de Sotetel,2020-06-18,2020-06-18,fr,,,,,
kapitalis,kapitalis::4315,Les agences de voyages tunisiennes rejoindront bientôt le NewGen ISS de l’IATA,2023-05-09,2023-05-09,fr,,,,,
kapitalis,kapitalis::2266,Conférence à Tunis pour un partenariat arabe dans les technologies géospatiales,2024-10-24,2024-10-24,fr,,,,,
lapresse,lapresse::217,Express,2026-08-21,2026-08-21,ca,,,,,
lapresse,lapresse::3379,BCT : de nouvelles règles pour simplifier les exportations tunisiennes,2025-10-28,2025-10-28,fr,,,,,
lapresse,lapresse::2654,Question de la semaine : Le salarié est-il un entrepreneur en devenir ?,2026-01-04,2026-01-04,fr,,,,,
lapresse,lapresse::472,L’Office National des Aliments pour Bétail ajuste les prix du maïs fourrager,2026-07-23,2026-07-23,fr,,,,,
lapresse,lapresse::6465,Ils ont dit,2022-06-17,2022-06-17,fr,,,,,
lapresse,lapresse::5407,Kasserine: les dernières chutes de neige sont bénéfiques pour les grandes cultures,2025-01-21,2025-01-21,fr,,,,,
lapresse,lapresse::2851,Le Fonds africain de développement lève un montant historique de 11 milliards de dollars,2025-12-17,2025-12-17,fr,,,,,
lapresse,lapresse::4954,"Les prix du pétrole reculent de 1,5 % sous l’effet des tensions commerciales",2025-03-11,2025-03-11,fr,,,,,
lapresse,lapresse::2254,La BNA Bank et la FSEGT scellent un partenariat en faveur de l’employabilité des étudiants,2026-02-15,2026-02-15,fr,,,,,
lapresse,lapresse::6341,Le programme «acte numérique»: Accompagner les petites et moyennes entreprises,2022-12-27,2022-12-27,fr,,,,,
lapresse,lapresse::468,Batteries Assad Algérie : le Groupe ASSAD en devient l’unique actionnaire,2026-07-24,2026-07-24,fr,,,,,
lapresse,lapresse::1002,Industrie automobile : SCHERDEL s’intéresse au potentiel tunisien lors d’une visite au CETIME,2026-06-04,2026-06-04,fr,,,,,
lapresse,lapresse::2263,Plus de 140 échantillons pour le concours de la meilleure huile d’olive vierge extra 2026,2026-02-13,2026-02-13,fr,,,,,
lapresse,lapresse::6686,Ils ont dit,2021-04-26,2021-04-26,fr,,,,,
lapresse,lapresse::1498,La Tunisie à la tête de l’Union des autorités arabes des marchés financiers,2026-04-22,2026-04-22,fr,,,,,
lapresse,lapresse::3996,Le prix du café atteint son plus haut niveau en deux mois,2025-08-20,2025-08-20,fr,,,,,
lapresse,lapresse::5888,High Tech et Innovation,2024-07-28,2024-07-28,en,,,,,
lapresse,lapresse::5372,Banques islamiques en Tunisie : Clarification sur leur exemption des nouvelles dispositions de la loi bancaire,2025-01-24,2025-01-24,fr,,,,,
lapresse,lapresse::1488,Val-d’Oise : la Tunisie en opération séduction auprès des entreprises françaises,2026-04-22,2026-04-22,fr,,,,,
lapresse,lapresse::2463,Des faits et des chiffres,2026-01-23,2026-01-23,fr,,,,,
lapresse,lapresse::5465,Tunisie – Nouveau pont de Bizerte : Les équipements logistiques débarquent pour la phase 2,2025-01-15,2025-01-15,fr,,,,,
lapresse,lapresse::5489,Marché de l’emploi: Mutations et adaptations inévitables !,2025-01-12,2025-01-12,fr,,,,,
lapresse,lapresse::743,La Tunisie dans le viseur des touristes russes,2026-06-30,2026-06-30,fr,,,,,
lapresse,lapresse::2034,Baromètre de l’industrie financière africaine 2025 : À la croisée des chemins,2026-03-07,2026-03-07,fr,,,,,
lapresse,lapresse::1034,"Jaouher Mghirbi, CEO et co-fondateur de «CnBees», première plateforme de «crowdfunding» en Tunisie, à La Presse : « Nous donnons une bouffée d’oxygène financière aux porteurs de projets »",2026-06-01,2026-06-01,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::16348,Ambition Africa 2019 : 60 entreprises tunisiennes y participent,2019-10-29,2019-10-29,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::12311,L’UGTT appelle le gouvernement à réviser à la hausse le SMIG,2022-04-28,2022-04-28,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::13229,Dette extérieure : la Tunisie affiche le taux le plus élevé en Afrique du Nord,2021-11-03,2021-11-03,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::4421,Thalassothérapie : Tunisie vs France… le match,2025-02-03,2025-02-03,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::1456,30 ans d’excellence : BNA Capitaux se réinvente grâce à une identité visuelle,2026-02-05,2026-02-05,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::11024,Les avoirs étrangers en bons du Trésor américain sont tombés au plus bas niveau depuis mai 2021,2022-11-18,2022-11-18,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::9401,Alert: Incapacité des politiques monétaires en Tunisie,2023-07-22,2023-07-22,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::4258,"Pertes de 7,9 milliards d’euros pour la BCE en 2024",2025-02-21,2025-02-21,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::6864,Afrique – Ecosystème régional de cloud : des experts du COMESA en Tunisie,2024-05-08,2024-05-08,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::2564,"Maïs mondial en baisse, soja fragilisé : marchés sous tension, blé en hausse",2025-09-12,2025-09-12,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::14578,Le marché boursier enchaîne six séances haussières consécutives,2020-12-09,2020-12-09,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::18001,Secteur TIC : soumission en devise aux marchés publics possible,2018-07-26,2018-07-26,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::4546,L’Arabie saoudite évalue une éventuelle adhésion aux BRICS,2025-01-22,2025-01-22,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::22065,S. Elloumi : seulement quatre millions de touristes ont visité la Tunisie,2015-09-21,2015-09-21,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::11892,Fayçal Derbel: « Revoir le code de l’investissement 2016 est une priorité »,2022-06-28,2022-06-28,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::13169,La Bourse de Tunis a bien résisté aux impacts de la pandémie,2021-11-15,2021-11-15,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::22712,Le tourisme tunisien mise sur le digital,2015-04-10,2015-04-10,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::1201,Visite de Giorgia Meloni à Alger : au-delà du gaz,2026-03-25,2026-03-25,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::23558,Tunisie : l’affaire de l’UBCI sera-t-elle réglée à fin octobre ?,2014-10-14,2014-10-14,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::1684,LF2026 — Facturation électronique : les éclairages de l’IACE,2026-01-06,2026-01-06,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::20072,Exportation de 200 mille tonnes de ferraille,2017-01-13,2017-01-13,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::7131,"La baisse des taux d’intérêt sera décidée en juin, annonce Lagarde",2024-04-13,2024-04-13,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::9870,"La livre turque glisse après la victoire d’Erdogan, elle tombe à 20,05 pour un dollar",2023-05-29,2023-05-29,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::16264,400 opportunités de stage attendent les étudiants,2019-11-19,2019-11-19,fr,,,,,
leconomistmaghrebin,leconomistmaghrebin::13354,Bourse : le marché termine la séance de vendredi proche de l’équilibre,2021-10-01,2021-10-01,fr,,,,,
nyt_economy,nyt_economy::328,Employers Hired Swiftly in January After a Dismal 2025,2026-02-11,2026-02-11,en,,,,,
nyt_economy,nyt_economy::688,"On Major Economic Decisions, Trump Blinks, and Then Blinks Again",2025-04-23,2025-04-23,en,,,,,
nyt_economy,nyt_economy::413,U.K. Budget Plan Calms Markets and Labour Faithful. Will It Appeal to Voters?,2025-11-26,2025-11-26,en,,,,,
nyt_economy,nyt_economy::788,Lawsuit Challenges Trump’s Legal Rationale for Tariffs on China,2025-04-04,2025-04-04,en,,,,,
nyt_economy,nyt_economy::244,High Oil and Gas Prices Could Outlast Trump’s War With Iran,2026-03-24,2026-03-24,en,,,,,
nyt_economy,nyt_economy::759,Bangladesh asks for a 3-month reprieve from the Trump tariffs.,2025-04-07,2025-04-07,en,,,,,
nyt_economy,nyt_economy::96,"As Chinese Tech Pulls Ahead, U.S. Fears It Will Become Dependent",2026-06-23,2026-06-23,en,,,,,
